Code INSEE;Code Postal;Commune;Département;Région;Statut;Altitude Moyenne;Superficie;Population;geo_point_2d;geo_shape;ID Geofla;Code Commune;Code Canton;Code Arrondissement;Code Département;Code Région
77387;77710;REMAUVILLE;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;129.0;1086.0;0.5;48.2205966192, 2.82537192194;"{""type"": ""Polygon"", ""coordinates"": [[[2.86213101713477, 48.21752328774431], [2.825367128100786, 48.20359095433924], [2.807023267619585, 48.21028384075121], [2.795159150953893, 48.221754113635434], [2.805180603561686, 48.22807850938656], [2.809095386585721, 48.24033980165544], [2.828943957577241, 48.23377487415977], [2.85638449396412, 48.22154746056545], [2.86213101713477, 48.21752328774431]]]}";11594;387;16;4;77;11
91692;91940;LES ULIS;ESSONNE;ILE-DE-FRANCE;Chef-lieu canton;154.0;543.0;24.7;48.680321482, 2.18518955;"{""type"": ""Polygon"", ""coordinates"": [[[2.191269659016876, 48.66826423744233], [2.168969351985356, 48.67602659881044], [2.164094990996519, 48.67506602572145], [2.161288984972471, 48.67556803747717], [2.165981212247245, 48.69476042493666], [2.174850051799166, 48.690693410925824], [2.181827592750015, 48.678913003512584], [2.190173243033867, 48.68732637387467], [2.204707084431246, 48.69106715032146], [2.204715333861176, 48.685166492274064], [2.208911635372384, 48.67717982546011], [2.19545645913776, 48.668886247328764], [2.191269659016876, 48.66826423744233]]]}";5846;692;43;3;91;11
93057;93320;LES PAVILLONS-SOUS-BOIS;SEINE-SAINT-DENIS;ILE-DE-FRANCE;Chef-lieu canton;56.0;293.0;21.2;48.9082060253, 2.50297448267;"{""type"": ""Polygon"", ""coordinates"": [[[2.49983721841802, 48.89574288314788], [2.491198654219263, 48.91019424357254], [2.4917336814827, 48.91687826150444], [2.507299294877434, 48.91866092556631], [2.509447396464468, 48.912257801546936], [2.518786304714338, 48.9100654325145], [2.510923718752643, 48.901796021348346], [2.507639971155887, 48.89851809815029], [2.49983721841802, 48.89574288314788]]]}";21208;057;22;1;93;11
95678;95840;VILLIERS-ADAM;VAL-D'OISE;ILE-DE-FRANCE;Commune simple;104.0;987.0;0.8;49.0702888248, 2.23950871871;"{""type"": ""Polygon"", ""coordinates"": [[[2.234868070986362, 49.049367824489615], [2.231302714246329, 49.051790889336296], [2.204058875324446, 49.06106405611318], [2.2026844907201, 49.065020387121024], [2.217494539765144, 49.066592412506836], [2.224450265848164, 49.07548547579246], [2.233877745431017, 49.077533122424335], [2.236017552988422, 49.087446634497404], [2.245894338199643, 49.08607931775437], [2.250877875868919, 49.090786138565846], [2.255901123706778, 49.090880274220886], [2.258209028285228, 49.084591383913086], [2.274023265251636, 49.07655043648777], [2.270171870910295, 49.0749805310926], [2.271919506321345, 49.06943421135192], [2.267781979495803, 49.067817521928426], [2.257284228745942, 49.07365172524268], [2.255355108617318, 49.07074442987062], [2.234868070986362, 49.049367824489615]]]}";30993;678;14;3;95;11
77468;77200;TORCY;SEINE-ET-MARNE;ILE-DE-FRANCE;Sous-préfecture;70.0;614.0;22.2;48.8532553496, 2.65123227423;"{""type"": ""Polygon"", ""coordinates"": [[[2.665620826932078, 48.832342706098636], [2.658536008864461, 48.83250255911048], [2.637712198290552, 48.845463806215065], [2.629330299368151, 48.857219419765805], [2.639171207596889, 48.85909312238613], [2.660854075349293, 48.874040300221786], [2.662008878593698, 48.87466409355319], [2.665387845234348, 48.86227197261834], [2.662331351245629, 48.8501584135312], [2.658319187474673, 48.838563534114286], [2.665620826932078, 48.832342706098636]]]}";21957;468;35;5;77;11
77321;77480;MOUSSEAUX-LES-BRAY;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;87.0;866.0;0.7;48.3959388077, 3.22954318005;"{""type"": ""Polygon"", ""coordinates"": [[[3.214171063015805, 48.36747653327141], [3.216471758193519, 48.40158802735881], [3.220362590766078, 48.40795945990754], [3.213765532347558, 48.41721099923629], [3.21521162542983, 48.42051010564351], [3.228946744413149, 48.41810931215962], [3.233278696083478, 48.41666142714525], [3.232114745242608, 48.40710035783419], [3.235984037485517, 48.405149454172836], [3.254312370199581, 48.40923201346036], [3.260683792043164, 48.40243472861396], [3.24763325861772, 48.3969657416111], [3.234845449516803, 48.38619570926677], [3.226023668774896, 48.37008160222319], [3.214171063015805, 48.36747653327141]]]}";8144;321;01;3;77;11
91022;91690;ARRANCOURT;ESSONNE;ILE-DE-FRANCE;Commune simple;129.0;756.0;0.1;48.3267041104, 2.15155534916;"{""type"": ""Polygon"", ""coordinates"": [[[2.153877533680555, 48.3084055571134], [2.12679502833154, 48.31729657687189], [2.131374915156194, 48.323430702844455], [2.156171538892291, 48.34706666386155], [2.172249008673476, 48.33837156257843], [2.17260045534899, 48.33490097167771], [2.160912734113215, 48.32398563415691], [2.161212086706577, 48.31705056674619], [2.170835101165815, 48.31503989756982], [2.169024017763205, 48.31269679773032], [2.154723395453936, 48.314530048959575], [2.153877533680555, 48.3084055571134]]]}";33121;022;17;1;91;11
91507;91720;PRUNAY-SUR-ESSONNE;ESSONNE;ILE-DE-FRANCE;Commune simple;109.0;507.0;0.3;48.3520662513, 2.36130827572;"{""type"": ""Polygon"", ""coordinates"": [[[2.385364207080836, 48.34774884788388], [2.376371617614294, 48.34460679092464], [2.34495244688947, 48.345597852237226], [2.345332779765498, 48.34865902876977], [2.340933015565537, 48.34969630875446], [2.327292872235835, 48.3491967625036], [2.34779150915547, 48.35937929266506], [2.383011232645624, 48.35848827139812], [2.385364207080836, 48.34774884788388]]]}";2271;507;18;2;91;11
77241;77230;JUILLY;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;100.0;773.0;2.0;49.0216143315, 2.70583283653;"{""type"": ""Polygon"", ""coordinates"": [[[2.712784056452569, 49.0075630087302], [2.683083575638166, 49.01183140383778], [2.680251003666341, 49.014530477970276], [2.683022891761095, 49.02401531931205], [2.711601974830329, 49.03583068567004], [2.72133315327551, 49.034423967622615], [2.730633245917737, 49.03165773332825], [2.731034024736573, 49.0282057748678], [2.712784056452569, 49.0075630087302]]]}";29205;241;09;1;77;11
92023;92140;CLAMART;HAUTS-DE-SEINE;ILE-DE-FRANCE;Chef-lieu canton;138.0;876.0;52.6;48.7964306792, 2.25474652922;"{""type"": ""Polygon"", ""coordinates"": [[[2.228842438969429, 48.77447083628517], [2.226559327154523, 48.776102031621754], [2.226627708148487, 48.78158897384748], [2.234962126007343, 48.785878904546564], [2.237015668418126, 48.796235311231634], [2.253282111887863, 48.80968520536401], [2.251865120621872, 48.81638584250767], [2.272566370808877, 48.81440000991327], [2.278179169818623, 48.814254149425516], [2.279913901436275, 48.81091886555575], [2.272195653730433, 48.79412525297508], [2.271715007168223, 48.7905246824363], [2.237456852049904, 48.776298005575384], [2.228842438969429, 48.77447083628517]]]}";20001;023;90;1;92;11
